team_location,bracket_display,seed,region,region_number,is_first_four,first_four_slot,first_four_opponent,r64_opponent,r64_opponent_seed,net_rank,conference,q1_wins,q1_losses,q1_winpct,wab,last10_wins,last10_losses,last10_winpct,road_wins,road_losses,road_winpct,automatic_qualifier,conference_winner,has_player_data
UConn,UConn,1,Regional 1,1,False,,,UTSA,16,1.0,Big East,9.0,0.0,1.0,11.43,10.0,0.0,1.0,12.0,0.0,1.0,AQ,1.0,True
UT San Antonio,UTSA,16,Regional 1,1,False,,,UConn,1,,,,,,,,,,,,,,,False
Iowa State,Iowa State,8,Regional 1,1,False,,,Syracuse,9,33.0,Big 12,2.0,3.0,0.4,0.87,6.0,4.0,0.6,5.0,5.0,0.5,Non,0.0,True
Syracuse,Syracuse,9,Regional 1,1,False,,,Iowa State,8,40.0,ACC,1.0,7.0,0.125,2.23,6.0,4.0,0.6,6.0,3.0,0.667,Non,0.0,True
Maryland,Maryland,5,Regional 1,1,False,,,Murray State,12,14.0,Big Ten,6.0,7.0,0.462,5.4,6.0,4.0,0.6,6.0,3.0,0.667,Non,0.0,True
Murray State,Murray St,12,Regional 1,1,False,,,Maryland,5,,,,,,,,,,,,,,,False
North Carolina,North Carolina,4,Regional 1,1,False,,,Western Illinois,13,19.0,ACC,4.0,6.0,0.4,6.18,8.0,2.0,0.8,8.0,3.0,0.727,Non,0.0,True
Western Illinois,W Illinois,13,Regional 1,1,False,,,North Carolina,4,,,,,,,,,,,,,,,False
Notre Dame,Notre Dame,6,Regional 1,1,False,,,Fairfield,11,21.0,ACC,7.0,7.0,0.5,4.32,8.0,2.0,0.8,6.0,6.0,0.5,Non,0.0,True
Fairfield,Fairfield,11,Regional 1,1,False,,,Notre Dame,6,53.0,MAAC,2.0,2.0,0.5,0.29,10.0,0.0,1.0,12.0,2.0,0.857,AQ,1.0,False
Ohio State,Ohio State,3,Regional 1,1,False,,,Howard,14,15.0,Big Ten,9.0,7.0,0.562,9.37,6.0,4.0,0.6,7.0,3.0,0.7,Non,0.0,True
Howard,Howard,14,Regional 1,1,False,,,Ohio State,3,156.0,MEAC,0.0,2.0,0.0,-4.29,10.0,0.0,1.0,11.0,7.0,0.611,Non,0.0,False
Illinois,Illinois,7,Regional 1,1,False,,,Colorado,10,30.0,Big Ten,3.0,10.0,0.231,2.45,5.0,5.0,0.5,6.0,6.0,0.5,Non,0.0,True
Colorado,Colorado,10,Regional 1,1,False,,,Illinois,7,46.0,Big 12,2.0,5.0,0.286,0.83,7.0,3.0,0.7,4.0,6.0,0.4,Non,0.0,True
Vanderbilt,Vanderbilt,2,Regional 1,1,False,,,High Point,15,7.0,SEC,8.0,4.0,0.667,9.83,7.0,3.0,0.7,7.0,2.0,0.778,Non,0.0,True
High Point,High Point,15,Regional 1,1,False,,,Vanderbilt,2,142.0,Big South,0.0,0.0,,-4.04,7.0,3.0,0.7,8.0,3.0,0.727,AQ,1.0,False
UCLA,UCLA,1,Regional 2,2,False,,,California Baptist,16,2.0,Big Ten,18.0,1.0,0.947,17.06,10.0,0.0,1.0,9.0,0.0,1.0,AQ,1.0,True
California Baptist,CA Baptist,16,Regional 2,2,False,,,UCLA,1,127.0,WAC,0.0,1.0,0.0,-7.62,8.0,2.0,0.8,11.0,5.0,0.688,Non,0.0,False
Oklahoma State,Oklahoma St,8,Regional 2,2,False,,,Princeton,9,29.0,Big 12,1.0,3.0,0.25,1.22,6.0,4.0,0.6,5.0,6.0,0.455,Non,0.0,True
Princeton,Princeton,9,Regional 2,2,False,,,Oklahoma State,8,38.0,Ivy League,1.0,1.0,0.5,2.57,8.0,2.0,0.8,11.0,2.0,0.846,Non,0.0,True
Ole Miss,Ole Miss,5,Regional 2,2,False,,,Gonzaga,12,20.0,SEC,5.0,8.0,0.385,3.95,4.0,6.0,0.4,4.0,6.0,0.4,Non,0.0,True
Gonzaga,Gonzaga,12,Regional 2,2,False,,,Ole Miss,5,63.0,WCC,0.0,0.0,,-4.38,8.0,2.0,0.8,9.0,4.0,0.692,Non,0.0,False
Minnesota,Minnesota,4,Regional 2,2,False,,,Green Bay,13,9.0,Big Ten,5.0,7.0,0.417,5.12,8.0,2.0,0.8,8.0,3.0,0.727,Non,0.0,True
Green Bay,Green Bay,13,Regional 2,2,False,,,Minnesota,4,98.0,Horizon,0.0,2.0,0.0,-4.24,7.0,3.0,0.7,9.0,5.0,0.643,Non,0.0,False
Baylor,Baylor,6,Regional 2,2,False,,,TBD (First Four),11,32.0,Big 12,3.0,6.0,0.333,4.29,5.0,5.0,0.5,7.0,3.0,0.7,Non,0.0,True
